,TP9_theta,TP9_alpha,TP9_beta,TP9_theta_alpha,TP9_beta_alpha,TP9_engagement,AF7_theta,AF7_alpha,AF7_beta,AF7_theta_alpha,AF7_beta_alpha,AF7_engagement,AF8_theta,AF8_alpha,AF8_beta,AF8_theta_alpha,AF8_beta_alpha,AF8_engagement,TP10_theta,TP10_alpha,TP10_beta,TP10_theta_alpha,TP10_beta_alpha,TP10_engagement,alpha_asymmetry,label
0,0.0001247588861032,8.002696396494839e-05,1.684185485048575e-05,1.4199684807914916,0.1975266917200161,0.2979193507920961,7.248842078801432e-05,4.753381327755838e-05,1.924801324768421e-05,1.5475013963119155,0.40743183758108,0.6654273622597517,9.320267879849555e-05,5.7827945543865814e-05,3.303761910404489e-05,1.5541988037956291,0.5988188522583554,0.9648232518969662,4.474854558740268e-05,5.46188542938304e-05,2.975456526527915e-05,0.8134817659012202,0.5616361890501023,1.2005112609158606,-0.0009018502028914,1
1,0.0001447912634479,0.0001088456809531,1.618718425810108e-05,1.211643101564538,0.139582933266105,0.2231484470565707,6.628576227719412e-05,5.428310399826626e-05,1.8563611709961772e-05,1.2391407764523446,0.344087988201029,0.6272633261523768,0.0001185585650622,7.592828509835684e-05,3.28192314015426e-05,1.5057236856601726,0.4530533030219221,0.740517711041286,7.373259019773425e-05,5.366849883092448e-05,2.600556438024078e-05,1.364116704668293,0.4995637259852106,0.8793602463082357,-0.0029466755610269,1
2,0.0001587216914541,8.44907710748195e-05,1.3864595179079317e-05,1.7110809901668,0.1540175217145587,0.2152798258238749,6.529295436855745e-05,5.952888518138726e-05,2.022444010426948e-05,1.1130217150000714,0.3418381012930871,0.6542504740237824,0.0001304250872991,6.733565556846277e-05,3.004754759492171e-05,1.8678069293928337,0.4677226753393054,0.6899837210593713,0.0001016326576389,6.369315642476256e-05,3.077553947791227e-05,1.5843531617276174,0.4981463625318654,0.8190460040602373,-0.0001438374159893,1
3,0.0002020329054624,7.476950455114334e-05,1.591786644568018e-05,2.4611674550302505,0.1998170599813549,0.2349498491957981,5.9175496128110886e-05,0.0001008797277279,2.512857933401085e-05,0.595255029101411,0.2506315524915999,0.6032386794047984,0.0001554160137114,6.439206729670731e-05,3.4124850657457743e-05,2.3274445131243624,0.5554729018921533,0.7292117522416584,0.0001232356909248,4.884787724662812e-05,3.2549586435724433e-05,2.504968638152381,0.6869795984733039,0.8854618915814962,0.0093925039430076,1
4,0.0002889177352141,9.490301381750792e-05,1.5044607600702734e-05,2.7729226443304205,0.1487897696138,0.1641199007021204,6.46035983540425e-05,8.382650778543671e-05,2.8375338760389656e-05,0.7820605905845526,0.3405896065529612,0.7500562963139908,0.000133486789783,6.97881741782098e-05,3.116971214118285e-05,1.8444733786273808,0.4681396663371806,0.6949638356915057,8.426212505162119e-05,7.04099210759908e-05,3.0162060616675125e-05,1.1882560504109774,0.4416428577080072,0.823844358258558,0.0046490953165538,1
5,0.0001901076327561,9.511948994518824e-05,1.301152345277766e-05,1.8204283829119736,0.1283898959866393,0.1746527700803277,6.855568918904773e-05,7.960642403949104e-05,2.297617617433715e-05,0.8738974105396239,0.2904031658862134,0.6138743460446077,0.0001236605898464,8.567646516756598e-05,2.398693599729335e-05,1.3918284593405597,0.2934524382218926,0.4965153658888021,6.28053072890857e-05,7.781927928772747e-05,2.717453566406254e-05,0.8013470171806141,0.3600136671139156,0.7731901025594583,0.0006545992711526,1
6,0.0001416978112286,0.0001126887739431,1.3546568014363493e-05,1.1453178913832307,0.1128290259840531,0.1838877418511915,8.10020199326047e-05,9.411822893459884e-05,2.493917484641976e-05,0.8733476774442043,0.2666122152382147,0.5637187758551413,0.000158584585343,8.818606824015006e-05,2.2621916403190137e-05,1.734111146274969,0.2688771518752781,0.4114544965390764,7.41989413307242e-05,7.786189500934288e-05,2.4359792002314065e-05,0.9462027885369996,0.3225467474107943,0.6555844767124089,0.0033146778830853,1
7,0.0002327364896485,0.0001270555979017,1.2570708070228156e-05,1.6684539801174691,0.0928620245111739,0.1312063958022332,9.688572960203796e-05,7.230303039174342e-05,2.9061296034582825e-05,1.3597791605450362,0.4044177308526782,0.7051898750467651,0.0001360025267858,8.667238922620868e-05,2.9274658126259268e-05,1.5131505759575596,0.3540263190134673,0.5773787341986656,8.529559595440322e-05,8.236109362577019e-05,2.9289837238747705e-05,1.0282908879981218,0.3666392147509011,0.7232303855750044,-0.0011219751812256,1
8,0.0001504310047487,0.0001054459452656,1.6603274676892037e-05,1.2994244338159924,0.147786947614383,0.2304420922122709,0.0001172740947265,6.225083324581173e-05,2.6584656706127413e-05,1.9117098911071573,0.4296923256329458,0.6249522641189693,0.0001011611556558,7.25357731726318e-05,3.1713779444152667e-05,1.3448612376173936,0.4582687498746447,0.7867898118807076,9.342551565857424e-05,8.377987659573284e-05,2.680306595659599e-05,1.1072285395303922,0.3298289856955194,0.6326794529831182,-0.0005615487578049,1
9,0.0002791557682379,0.0001915856550058,1.4010391118811608e-05,1.3271718912475066,0.0686371879450447,0.1061978002371951,8.000698429790072e-05,4.84831621634845e-05,2.0660523502053896e-05,1.6745650788021798,0.4287677316443994,0.6714736468909196,0.000111994249899,0.0001101082936372,2.7467522651573533e-05,0.9808252369091524,0.2614712511728046,0.5066989971830319,9.134942409640111e-05,9.207825503170448e-05,2.5887597655469576e-05,0.9850544051767244,0.2898536210484634,0.5807834728984894,-0.0108290407356497,1
